Company Name,Symbol,Ex_Div_Date,Rec_Date,FaceValue,CMP,Div,Div_Percent
Aarti Industries Limited,AARTIIND,2021-06-22 00:00:00,2021-06-23 00:00:00,5.0,1659.0,BONUS 1:1,0.06027727546714888
Angel Broking Limited,ANGELBRKG,2021-06-21 00:00:00,2021-06-22 00:00:00,10.0,741.95,ANNUAL GENERAL MEETING,0
Asian Paints Limited,ASIANPAINT,2021-06-10 00:00:00,2021-06-11 00:00:00,1.0,2943.7,DIVIDEND - RS 14.50 PER SH,0.49257736861772605
GHCL Limited,GHCL,2021-06-10 00:00:00,2021-06-12 00:00:00,10.0,264.65,ANNUAL GENERAL MEETING/DIVIDEND - RS 5.50  PER SHARE,2.078216512374835
Housing Development Finance Corporation Limited,HDFC,2021-05-31 00:00:00,2021-06-01 00:00:00,2.0,2540.05,DIVIDEND - RS 23 PER SH,0.9054939863388515
The Indian Hotels Company Limited,INDHOTEL,2021-06-14 00:00:00,2021-06-15 00:00:00,1.0,132.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,0.3012048192771084
Infosys Limited,INFY,2021-05-31 00:00:00,2021-06-01 00:00:00,5.0,1406.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 15 PER SHARE,1.0666666666666667
Jay Bharat Maruti Limited,JAYBARMARU,2021-06-07 00:00:00,2021-06-08 00:00:00,5.0,361.45,BONUS 1:1,0.2766634389265459
Manappuram Finance Limited,MANAPPURAM,2021-06-04 00:00:00,2021-06-07 00:00:00,2.0,156.2,INTERIM DIVIDEND - RS 0.75 PER SHARE,0.48015364916773373
Nippon Life India Asset Management Limited,NAM-INDIA,2021-06-10 00:00:00,2021-06-11 00:00:00,10.0,347.85,DIVIDEND - RS 5  PER SHARE,1.4374011786689664
State Bank of India,SBIN,2021-06-03 00:00:00,2021-06-04 00:00:00,1.0,422.15,DIVIDEND - RS 4 PER SHARE,0.9475304986379249
Shree Digvijay Cement Co.Ltd,SHREDIGCEM,2021-06-10 00:00:00,2021-06-11 00:00:00,10.0,76.15,DIVIDEND - RS 2.50 PER SHARE,3.2829940906106367
Torrent Pharmaceuticals Limited,TORNTPHARM,2021-06-17 00:00:00,2021-06-18 00:00:00,5.0,2717.0,DIVIDEND - RS 15 PER SHARE,0.5520794994479205
Torrent Power Limited,TORNTPOWER,2021-06-24 00:00:00,2021-06-25 00:00:00,10.0,428.4,DIVIDEND - RS 5.50  PER SHARE,1.2838468720821663
Varun Beverages Limited,VBL,2021-06-10 00:00:00,2021-06-12 00:00:00,10.0,1006.5,BONUS 1:2,0.09935419771485346
