A,B,C
2009-07-27,34.7,34.9
2009-07-24,34.18,34.85
2009-07-23,33.3,34.58
2009-07-22,32.8,33.49
2009-07-21,31.9,33.4
2009-07-20,31.8,32.46
2009-07-17,32.0,32.08
2009-07-16,31.17,31.85
2009-07-15,29.9,31.06
2009-07-14,29.05,29.81
2009-07-13,27.66,29.15
2009-07-10,27.7,28.39
2009-07-09,27.9,28.2
2009-07-08,27.46,27.92
2009-07-07,27.99,28.23
2009-07-06,27.95,28.18
2009-07-03,27.7,28.0
2009-07-02,28.81,28.86
2009-07-01,28.41,29.26
2009-06-30,29.17,29.62
2009-06-29,28.02,29.27
2009-06-26,28.29,28.66
2009-06-25,28.8,28.85
2009-06-24,28.25,29.08
2009-06-23,27.8,28.66
2009-06-22,29.03,29.11
2009-06-19,28.88,29.36
2009-06-18,29.15,29.4
2009-06-17,30.29,30.42
2009-06-16,30.8,30.9
2009-06-15,31.22,31.38
2009-06-12,32.03,32.1
2009-06-11,30.92,31.6
2009-06-10,31.25,31.64
2009-06-09,30.98,31.15
2009-06-08,31.18,31.34
2009-06-05,31.74,32.25
2009-06-04,31.68,32.24
2009-06-03,31.83,31.99
2009-06-02,31.75,32.14
2009-06-01,30.53,32.12
2009-05-29,30.48,30.49
2009-05-28,30.09,30.7
2009-05-27,30.77,30.77
2009-05-26,29.71,30.63
2009-05-25,30.04,30.13
2009-05-22,29.65,30.39
2009-05-21,30.25,30.35
2009-05-20,28.95,30.96
2009-05-19,29.2,29.5
2009-05-18,27.5,28.85
2009-05-15,27.6,28.15
2009-05-14,28.01,28.12
2009-05-13,29.5,29.63
2009-05-12,29.35,29.89
2009-05-11,29.45,29.64
2009-05-08,29.14,30.05
2009-05-07,29.06,29.48
2009-05-06,28.67,29.68
2009-05-05,28.9,29.92
2009-05-04,27.79,29.05
2009-05-01,28.57,28.57
2009-04-30,28.2,29.15
2009-04-29,26.5,26.89
2009-04-28,27.0,27.04
2009-04-27,26.67,27.47
2009-04-24,26.03,27.2
2009-04-23,26.0,26.3
2009-04-22,25.67,26.62
2009-04-21,26.01,26.33
2009-04-20,26.72,27.13
2009-04-17,27.07,27.39
2009-04-16,26.96,27.51
2009-04-15,27.17,27.54
2009-04-14,26.75,27.99
2009-04-10,26.89,26.89
2009-04-09,25.62,27.18
2009-04-08,24.63,25.35
2009-04-07,25.8,26.0
2009-04-06,26.19,26.9
2009-04-03,24.9,26.98
2009-04-02,23.77,25.22
2009-04-01,22.69,23.34
2009-03-31,22.39,22.9
2009-03-30,23.3,23.35
2009-03-27,24.21,24.21
2009-03-26,24.13,24.39
2009-03-25,24.85,24.93
2009-03-24,24.87,24.93
2009-03-23,24.64,24.7
2009-03-20,23.22,24.16
2009-03-19,23.46,24.27
2009-03-18,24.1,24.4
2009-03-17,23.93,24.29
2009-03-16,24.65,24.78
2009-03-13,24.77,25.26
2009-03-12,23.15,24.49
2009-03-11,22.66,23.98
2009-03-10,20.69,23.08
2009-03-09,20.84,20.87
2009-03-06,20.7,21.37
2009-03-05,21.9,21.95
2009-03-04,21.0,22.36
2009-03-03,21.05,21.3
2009-03-02,21.52,21.66
2009-02-27,22.4,22.48
2009-02-26,21.94,23.22
2009-02-25,22.05,22.29
2009-02-24,21.15,21.96
2009-02-23,22.19,22.49
2009-02-20,22.5,22.68
2009-02-19,23.25,23.32
2009-02-18,23.32,23.63
2009-02-17,24.26,24.27
2009-02-16,24.25,24.8
2009-02-13,24.32,25.11
2009-02-12,24.75,24.79
2009-02-11,24.77,24.99
2009-02-10,25.7,25.97
2009-02-09,25.56,26.33
2009-02-06,24.03,26.18
2009-02-05,23.7,24.18
2009-02-04,22.68,24.55
2009-02-03,22.3,22.65
2009-02-02,22.33,22.62
2009-01-30,23.58,23.9
2009-01-29,22.75,23.9
2009-01-28,22.36,22.93
2009-01-27,22.37,22.61
2009-01-26,21.8,22.83
2009-01-23,22.57,22.75
2009-01-22,23.53,23.85
2009-01-21,22.46,23.37
2009-01-20,22.57,23.57
2009-01-19,24.1,24.24
2009-01-16,23.65,24.29
2009-01-15,24.25,24.35
2009-01-14,25.84,25.84
2009-01-13,25.3,25.5
2009-01-12,25.76,25.91
2009-01-09,26.79,26.79
2009-01-08,26.01,26.94
2009-01-07,27.53,27.53
2009-01-06,27.77,28.1
2009-01-05,28.05,28.38
2009-01-02,27.9,28.1
2009-01-01,27.73,27.73
2008-12-31,27.73,27.73
2008-12-30,27.3,27.85
2008-12-29,26.77,27.0
2008-12-26,26.0,26.0
2008-12-25,26.0,26.0
2008-12-24,26.0,26.0
2008-12-23,26.35,26.52
2008-12-22,26.42,26.58
2008-12-19,26.4,26.99
2008-12-18,26.67,26.84
2008-12-17,26.5,26.69
2008-12-16,25.5,26.42
2008-12-15,25.78,25.92
2008-12-12,24.5,25.45
2008-12-11,25.96,26.29
2008-12-10,25.94,26.49
2008-12-09,24.5,25.81
2008-12-08,24.24,25.58
2008-12-05,23.21,23.3
2008-12-04,23.2,24.62
2008-12-03,23.26,23.46
2008-12-02,22.75,24.22
2008-12-01,24.86,24.95
2008-11-28,25.15,25.25
2008-11-27,24.86,25.28
2008-11-26,25.0,25.12
2008-11-25,24.1,25.5
2008-11-24,22.1,24.5
2008-11-21,22.76,23.28
2008-11-20,21.29,23.03
2008-11-19,25.4,25.65
2008-11-18,25.85,25.89
2008-11-17,25.88,26.47
2008-11-14,26.7,27.27
2008-11-13,25.28,25.99
2008-11-12,26.51,26.82
2008-11-11,26.6,27.16
2008-11-10,26.91,28.31
2008-11-07,25.54,26.6
2008-11-06,26.8,27.43
2008-11-05,28.98,29.18
2008-11-04,26.92,29.44
2008-11-03,27.05,27.99
2008-10-31,24.5,26.72
2008-10-30,25.46,26.12
2008-10-29,23.75,25.36
2008-10-28,21.45,21.95
2008-10-27,21.0,21.33
2008-10-24,22.55,22.77
2008-10-23,24.03,24.21
2008-10-22,24.4,24.7
2008-10-21,25.44,25.96
2008-10-20,25.25,25.3
2008-10-17,25.45,25.47
2008-10-16,25.0,25.34
2008-10-15,29.3,29.3
2008-10-14,30.11,30.75
2008-10-13,27.52,28.49
2008-10-10,26.2,26.43
2008-10-09,28.85,29.97
2008-10-08,30.24,30.49
2008-10-07,32.0,32.21
2008-10-06,32.3,32.75
2008-10-03,32.45,33.57
2008-10-02,33.92,34.42
2008-10-01,34.34,34.34
2008-09-30,33.05,33.96
2008-09-29,34.78,34.78
2008-09-26,34.92,35.2
2008-09-25,34.75,35.48
2008-09-24,34.4,34.86
2008-09-23,34.08,34.52
2008-09-22,35.0,35.19
2008-09-19,33.61,34.98
2008-09-18,33.83,34.25
2008-09-17,35.16,35.42
2008-09-16,35.92,35.94
2008-09-15,36.9,36.98
2008-09-12,37.52,38.02
2008-09-11,37.21,37.46
2008-09-10,37.55,37.82
2008-09-09,38.5,38.54
2008-09-08,38.92,39.0
2008-09-05,38.77,39.0
2008-09-04,39.82,39.97
2008-09-03,39.61,40.09
2008-09-02,39.26,40.19
2008-09-01,39.16,39.7
2008-08-29,39.17,39.6
2008-08-28,39.18,39.5
2008-08-27,39.33,39.49
2008-08-26,39.27,39.76
2008-08-25,39.39,39.69
2008-08-22,39.37,39.58
2008-08-21,39.41,39.64
2008-08-20,39.93,40.23
2008-08-19,39.85,40.0
2008-08-18,39.6,40.35
2008-07-28,41.99,42.05
2008-07-25,40.75,42.24
2008-07-24,41.9,42.19
2008-07-23,42.6,42.6
2008-07-22,41.34,42.28
2008-07-21,40.92,42.09
2008-07-18,41.11,41.67
2008-07-17,40.28,41.11
2008-07-16,40.7,40.78
2008-07-15,40.47,40.68
2008-07-14,40.81,41.13
2008-07-11,41.5,41.63
2008-07-10,41.05,42.0
2008-07-09,42.0,42.07
2008-07-08,41.94,42.28
2008-07-07,42.75,42.95
2008-07-04,43.4,43.4
2008-07-03,42.3,43.03
2008-07-02,43.5,43.69
2008-07-01,43.5,43.72
2008-06-30,43.8,44.29
2008-06-27,44.6,44.69
2008-06-26,89.95,90.34
2008-06-25,90.87,90.94
2008-06-24,91.5,91.5
2008-06-23,89.99,91.17
2008-06-20,92.12,92.67
2008-06-19,92.99,93.7
2008-06-18,94.34,94.35
2008-06-17,93.43,94.78
2008-06-16,95.24,95.5
2008-06-13,94.37,95.1
2008-06-12,93.8,94.88
2008-06-11,93.92,94.8
2008-06-10,95.93,95.93
2008-06-09,94.5,96.25
2008-06-06,96.23,97.08
2008-06-05,96.53,97.11
2008-06-04,95.8,97.11
2008-06-03,95.02,96.8
2008-06-02,96.7,96.89
2008-05-30,96.8,96.8
2008-05-29,95.22,95.74
2008-05-28,93.64,95.58
2008-05-27,94.18,94.7
2008-05-26,93.15,94.5
2008-05-23,95.5,95.79
2008-05-22,93.5,94.5
2008-05-21,93.5,95.0
2008-05-20,92.6,93.27
2008-05-19,93.11,93.46
2008-05-16,92.28,93.56
2008-05-15,90.8,91.64
2008-05-14,91.68,91.97
2008-05-13,89.77,91.36
2008-05-12,89.49,90.38
2008-05-09,89.94,90.08
2008-05-08,90.04,90.79
2008-05-07,90.84,91.54
2008-05-06,91.58,92.1
2008-05-05,90.69,92.1
2008-05-02,92.12,92.12
2008-04-30,90.26,92.1
2008-04-29,90.17,91.12
2008-04-28,90.28,90.86
2008-04-25,90.51,91.05
2008-04-24,93.0,94.27
2008-04-23,92.01,93.59
2008-04-22,93.0,93.73
2008-04-21,93.76,93.77
2008-04-18,91.51,93.53
2008-04-17,91.65,92.35
2008-04-16,90.69,91.88
2008-04-15,89.8,90.6
2008-04-14,87.69,88.86
2008-04-11,90.65,90.96
2008-04-10,88.8,90.03
2008-04-09,89.0,90.34
2008-04-08,89.01,89.43
2008-04-07,89.19,89.96
2008-04-04,89.0,89.98
2008-04-03,89.47,89.74
2008-04-02,87.75,89.18
2008-04-01,84.71,87.52
2008-03-31,85.65,86.22
2008-03-28,85.75,85.9
2008-03-27,84.39,86.3
2008-03-26,84.71,85.72
2008-03-25,85.75,86.19
2008-03-24,83.73,83.73
2008-03-21,83.73,83.73
2008-03-20,84.1,85.99
2008-03-19,86.4,86.81
2008-03-18,84.44,85.69
2008-03-17,81.7,84.7
2008-03-14,84.37,86.0
2008-03-13,83.21,84.3
2008-03-12,85.58,86.57
2008-03-11,82.58,85.2
2008-03-10,82.46,83.7
2008-03-07,83.3,83.95
2008-03-06,86.0,86.0
2008-03-05,82.95,85.12
2008-03-04,83.69,84.65
2008-03-03,82.8,83.63
2008-02-29,84.56,85.19
2008-02-28,86.28,86.61
2008-02-27,86.79,86.85
2008-02-26,85.1,86.87
2008-02-25,85.36,85.85
2008-02-22,84.68,86.0
2008-02-21,86.9,88.1
2008-02-20,87.35,87.37
2008-02-19,87.04,88.7
2008-02-18,86.5,87.83
2008-02-15,87.08,88.19
2008-02-14,87.69,88.39
2008-02-13,85.82,87.2
2008-02-12,84.44,86.78
2008-02-11,83.1,85.0
2008-02-08,84.51,85.73
2008-02-07,85.8,85.8
2008-02-06,83.89,86.27
2008-02-05,87.69,87.9
2008-02-04,88.84,89.17
2008-02-01,87.94,89.02
2008-01-31,86.06,87.91
2008-01-30,85.88,86.59
2008-01-29,83.95,86.96
2008-01-28,82.65,83.82
2008-01-25,85.28,86.62
2008-01-24,83.89,85.0
2008-01-23,86.78,86.78
2008-01-22,80.25,87.53
2008-01-21,90.45,90.46
2008-01-18,94.49,94.5
2008-01-17,95.99,96.34
2008-01-16,98.0,98.85
2008-01-15,99.1,101.02
2008-01-14,99.84,100.22
2008-01-11,99.75,100.5
2008-01-10,105.0,105.0
2008-01-09,104.0,105.74
2008-01-08,104.58,105.5
2008-01-07,101.95,104.45
2008-01-04,102.0,103.42
2008-01-03,100.9,102.31
2008-01-02,100.59,102.45
2008-01-01,101.41,101.41
2007-12-31,101.41,101.41
2007-12-28,101.29,101.63
2007-12-27,101.8,102.0
2007-12-26,101.08,101.08
2007-12-25,101.08,101.08
2007-12-24,101.08,101.08
2007-12-21,99.5,101.59
2007-12-20,98.27,99.28
2007-12-19,97.82,98.55
2007-12-18,96.85,98.68
2007-12-17,97.54,97.8
2007-12-14,98.88,99.65
2007-12-13,97.61,99.88
2007-12-12,96.34,98.9
2007-12-11,96.63,97.0
2007-12-10,97.0,97.36
2007-12-07,97.11,97.94
2007-12-06,96.9,98.29
2007-12-05,95.27,96.5
2007-12-04,94.25,95.67
2007-12-03,95.0,95.85
2007-11-30,94.0,95.45
2007-11-29,93.81,94.86
2007-11-28,91.15,93.79
2007-11-27,91.44,91.48
2007-11-26,92.61,93.3
2007-11-23,93.0,93.13
2007-11-22,91.36,93.18
2007-11-21,90.24,91.49
2007-11-20,88.33,91.22
2007-11-19,89.75,90.24
2007-11-16,90.17,90.77
2007-11-15,93.0,93.51
2007-11-14,93.42,93.51
2007-11-13,91.4,92.51
2007-11-12,92.33,92.96
2007-11-09,93.5,93.85
2007-11-08,92.93,94.84
2007-11-07,93.8,94.33
2007-11-06,93.02,94.49
2007-11-05,92.1,93.57
2007-11-02,92.0,93.43
2007-11-01,95.95,96.4
2007-10-31,95.91,96.39
2007-10-30,98.49,98.49
2007-10-29,98.4,98.5
2007-10-26,97.57,98.45
2007-10-25,96.0,97.79
2007-10-24,96.99,97.0
2007-10-23,95.65,96.68
2007-10-22,95.32,96.43
2007-10-19,95.46,97.19
2007-10-18,96.39,96.5
2007-10-17,96.45,96.94
2007-10-16,95.0,95.38
2007-10-15,95.25,95.85
2007-10-12,95.0,95.61
2007-10-11,95.01,95.9
2007-10-10,96.35,96.36
2007-10-09,97.21,97.44
2007-10-08,96.34,97.88
2007-10-05,95.2,96.08
2007-10-04,95.0,95.61
2007-10-03,96.19,96.25
2007-10-02,97.15,97.65
2007-10-01,96.9,97.59
2007-09-28,97.0,97.4
2007-09-27,97.05,97.5
2007-09-26,97.39,97.93
2007-09-25,96.45,97.88
2007-09-24,95.85,97.4
2007-09-21,96.11,97.0
2007-09-20,96.28,96.91
2007-09-19,96.1,96.64
2007-09-18,93.2,95.11
2007-09-17,92.99,94.29
2007-09-14,93.13,93.65
2007-09-13,91.9,93.43
2007-09-12,92.75,93.0
2007-09-11,92.7,93.86
2007-09-10,93.5,93.93
2007-09-07,94.85,96.14
2007-09-06,95.89,96.29
2007-09-05,96.94,97.29
2007-09-04,95.83,97.74
2007-09-03,97.1,97.39
2007-08-31,95.95,97.24
2007-08-30,94.36,95.85
2007-08-29,92.01,94.43
2007-08-28,92.78,93.83
2007-08-27,92.82,94.0
2007-08-24,91.84,93.0
2007-08-23,93.34,93.83
2007-08-22,92.35,93.87
2007-08-21,91.22,92.49
2007-08-20,90.27,91.22
2007-08-17,88.8,92.93
2007-08-16,90.02,91.16
2007-08-15,91.4,92.5
2007-08-14,92.47,93.0
2007-08-13,92.1,93.5
2007-08-10,90.1,92.69
2007-08-09,93.34,94.17
2007-08-08,94.46,94.9
2007-08-07,93.9,94.29
2007-08-06,91.75,93.95
2007-08-03,93.9,93.99
2007-08-02,92.91,94.17
2007-08-01,92.97,94.6
2007-07-31,94.89,95.35
2007-07-30,91.51,94.5
2007-07-27,92.1,93.0
2007-07-26,95.2,96.17
2007-07-25,95.0,96.34
2007-07-24,97.74,98.28
2007-07-23,97.9,98.0
2007-07-20,98.56,99.38
2007-07-19,98.4,98.99
2007-07-18,98.55,99.15
2007-07-17,98.58,99.81
2007-07-16,98.94,100.75
2007-07-13,99.0,99.62
2007-07-12,96.32,97.21
2007-07-11,96.01,96.24
2007-07-10,98.88,99.48
2007-07-09,99.3,100.04
2007-07-06,96.75,98.64
2007-07-05,97.77,98.34
2007-07-04,97.6,97.9
2007-07-03,97.0,97.76
2007-07-02,96.5,96.85
2007-06-29,95.43,97.37
2007-06-28,93.45,94.94
2007-06-27,92.54,93.09
2007-06-26,92.79,93.73
2007-06-25,93.65,95.0
2007-06-22,94.61,95.55
2007-06-21,95.6,95.94
2007-06-20,95.3,97.85
2007-06-19,93.94,95.15
2007-06-18,92.82,94.96
2007-06-15,89.8,92.1
2007-06-14,88.5,89.5
2007-06-13,87.85,88.25
2007-06-12,87.55,88.78
2007-06-11,86.73,88.36
2007-06-08,86.5,87.44
2007-06-07,89.0,89.47
2007-06-06,92.38,92.5
2007-06-05,92.26,93.1
2007-06-04,92.2,92.98
2007-06-01,92.45,93.2
2007-05-31,90.22,93.02
2007-05-30,90.06,90.27
2007-05-29,91.5,91.65
2007-05-28,90.89,90.89
2007-05-25,90.0,91.92
2007-05-24,90.1,91.39
2007-05-23,91.17,91.58
2007-05-22,91.58,91.58
2007-05-21,90.08,91.81
2007-05-18,88.11,90.28
2007-05-17,89.1,89.49
2007-05-16,88.26,89.35
2007-05-15,87.3,88.9
2007-05-14,87.9,88.4
2007-05-11,86.63,87.89
2007-05-10,88.33,88.57
2007-05-09,88.46,88.46
2007-05-08,88.39,88.45
2007-05-07,88.5,88.88
2007-05-04,87.67,88.6
2007-05-03,87.64,87.85
2007-05-02,87.25,87.41
2007-05-01,87.43,87.43
2007-04-30,87.7,87.84
2007-04-27,85.9,87.9
2007-04-26,92.0,92.7
2007-04-25,89.5,90.6
2007-04-24,89.0,90.17
2007-04-23,89.61,89.92
2007-04-20,88.85,90.06
2007-04-19,88.01,89.48
2007-04-18,90.15,90.2
2007-04-17,90.51,90.7
2007-04-16,89.3,91.19
2007-04-13,86.5,89.27
2007-04-12,86.55,87.01
2007-04-11,87.98,88.44
2007-04-10,87.0,87.89
2007-04-09,86.77,86.77
2007-04-06,86.77,86.77
2007-04-05,85.4,86.96
2007-04-04,84.96,86.36
2007-04-03,84.6,85.41
2007-04-02,84.2,84.58
2007-03-30,83.58,84.89
2007-03-29,82.55,84.28
2007-03-28,81.12,82.79
2007-03-27,80.0,81.68
2007-03-26,78.52,80.19
2007-03-23,79.9,80.04
2007-03-22,79.5,79.75
2007-03-21,77.51,78.23
2007-03-20,77.08,77.99
2007-03-19,77.0,77.63
2007-03-16,76.3,76.85
2007-03-15,76.64,77.13
2007-03-14,76.5,76.64
2007-03-13,79.3,79.3
2007-03-12,78.7,79.65
2007-03-09,78.01,78.84
2007-03-08,78.35,78.59
2007-03-07,77.11,78.55
2007-03-06,76.71,77.88
2007-03-05,75.28,76.7
2007-03-02,77.0,78.17
2007-03-01,76.52,79.08
2007-02-28,78.2,79.0
2007-02-27,79.49,79.95
2007-02-26,79.45,80.58
2007-02-23,79.77,80.3
2007-02-22,78.9,80.54
2007-02-21,75.78,76.85
2007-02-20,75.93,76.11
2007-02-19,76.21,76.74
2007-02-16,76.6,77.09
2007-02-15,76.76,76.94
2007-02-14,76.81,77.07
2007-02-13,76.84,76.95
2007-02-12,76.5,76.66
2007-02-09,76.42,77.61
2007-02-08,76.61,76.86
2007-02-07,76.71,77.32
2007-02-06,75.85,77.13
2007-02-05,75.27,75.87
2007-02-02,75.57,75.9
2007-02-01,74.19,76.17
2007-01-31,73.35,74.44
2007-01-30,72.51,73.3
2007-01-29,72.45,73.16
2007-01-26,71.78,72.25
2007-01-25,72.7,72.72
2007-01-24,72.8,73.34
2007-01-23,72.46,72.94
2007-01-22,73.38,73.76
2007-01-19,73.2,73.63
2007-01-18,74.35,74.47
2007-01-17,74.0,74.88
2007-01-16,74.0,74.25
2007-01-15,73.86,74.65
2007-01-12,72.78,73.99
2007-01-11,72.47,73.0
2007-01-10,72.69,72.97
2007-01-09,73.46,74.73
2007-01-08,73.27,73.36
2007-01-05,73.81,74.27
2007-01-04,73.99,74.27
2007-01-03,74.86,74.86
2007-01-02,74.4,74.82
2007-01-01,73.85,73.85
2006-12-29,74.34,74.5
2006-12-28,74.42,74.48
2006-12-27,73.28,74.2
2006-12-26,72.94,72.94
2006-12-25,72.94,72.94
2006-12-22,73.54,73.97
2006-12-21,73.32,73.94
2006-12-20,72.22,74.21
2006-12-19,72.09,72.43
2006-12-18,72.8,72.94
2006-12-15,71.9,72.99
2006-12-14,71.95,71.96
2006-12-13,71.35,71.88
2006-12-12,71.01,71.5
2006-12-11,71.36,71.36
2006-12-08,70.53,71.2
2006-12-07,70.37,71.18
2006-12-06,70.29,70.7
2006-12-05,69.2,70.54
2006-12-04,69.21,69.9
2006-12-01,69.77,70.29
2006-11-30,69.98,70.49
2006-11-29,69.82,70.43
2006-11-28,69.5,70.14
2006-11-27,70.7,70.7
2006-11-24,71.31,71.47
2006-11-23,70.25,71.94
2006-11-22,70.28,70.56
2006-11-21,70.15,70.43
2006-11-20,70.02,70.32
2006-11-17,70.17,70.63
2006-11-16,70.78,70.89
2006-11-15,70.7,70.88
2006-11-14,69.96,70.54
2006-11-13,69.7,70.41
2006-11-10,68.7,70.03
2006-11-09,68.87,69.19
2006-11-08,68.0,68.8
2006-11-07,68.0,68.8
2006-11-06,67.1,67.98
2006-11-03,67.47,67.7
2006-11-02,67.92,68.45
2006-11-01,68.77,69.25
2006-10-31,68.78,69.22
2006-10-30,68.2,69.09
2006-10-27,68.6,69.2
2006-10-26,67.85,68.73
2006-10-25,67.14,67.77
2006-10-24,67.0,67.54
2006-10-23,67.25,67.6
2006-10-20,66.7,67.17
2006-10-19,65.97,66.81
2006-10-18,65.49,66.38
2006-10-17,65.4,65.65
2006-10-16,65.7,66.05
2006-10-13,65.95,65.98
2006-10-12,65.49,65.92
2006-10-11,65.12,65.45
2006-10-10,65.2,65.45
2006-10-09,64.6,65.2
2006-10-06,64.74,65.07
2006-10-05,65.02,65.02
2006-10-04,63.3,64.83
2006-10-03,63.7,63.74
2006-10-02,63.6,63.9
2006-09-29,62.75,63.59
2006-09-28,63.02,63.25
2006-09-27,63.4,63.49
2006-09-26,62.75,63.36
2006-09-25,62.34,62.67
2006-09-22,62.45,62.8
2006-09-21,62.33,63.19
2006-09-20,61.4,62.29
2006-09-19,62.1,62.1
2006-09-18,62.7,62.74
2006-09-15,62.64,62.9
2006-09-14,63.4,63.4
2006-09-13,63.43,63.62
2006-09-12,63.2,63.4
2006-09-11,63.0,63.37
2006-09-08,63.3,63.65
2006-09-07,63.17,63.5
2006-09-06,64.69,64.73
2006-09-05,64.75,65.02
2006-09-04,64.95,65.15
2006-09-01,64.15,65.09
2006-08-31,65.0,65.3
2006-08-30,64.45,65.12
2006-08-29,64.2,64.6
2006-08-28,63.3,64.33
2006-08-25,63.24,64.15
2006-08-24,62.59,63.7
2006-08-23,63.33,63.35
2006-08-22,63.59,63.64
2006-08-21,63.4,63.61
2006-08-18,63.35,63.8
2006-08-17,63.0,63.49
2006-08-16,62.52,63.05
2006-08-15,61.66,62.72
2006-08-14,61.8,62.45
2006-08-11,61.63,61.89
2006-08-10,61.85,62.04
2006-08-09,61.8,62.59
2006-08-08,61.94,62.03
2006-08-07,61.7,61.95
2006-08-04,62.7,62.89
2006-08-03,62.5,62.5
2006-08-02,62.9,62.98
2006-08-01,62.3,63.46
2006-07-31,62.37,63.3
2006-07-28,62.5,62.66
2006-07-27,63.4,63.85
2006-07-26,62.56,63.12
2006-07-25,62.53,62.91
2006-07-24,61.7,62.62
2006-07-21,61.72,62.1
2006-07-20,61.86,62.4
2006-07-19,61.2,62.02
2006-07-18,60.64,61.34
2006-07-17,61.16,61.18
2006-07-14,61.2,61.39
2006-07-13,62.2,62.43
2006-07-12,62.9,63.42
2006-07-11,62.37,63.07
2006-07-10,62.31,63.18
2006-07-07,62.35,63.2
2006-07-06,62.6,62.68
2006-07-05,63.17,63.74
2006-07-04,63.2,63.88
2006-07-03,62.88,63.49
2006-06-30,62.29,62.95
2006-06-29,60.1,61.86
2006-06-28,60.0,60.37
2006-06-27,61.2,61.49
2006-06-26,61.28,61.37
2006-06-23,61.0,61.4
2006-06-22,61.05,61.47
2006-06-21,60.25,60.5
2006-06-20,59.25,60.22
2006-06-19,59.77,60.11
2006-06-16,59.16,59.16
2006-06-15,59.16,59.16
2006-06-14,59.1,59.65
2006-06-13,59.15,59.47
2006-06-12,60.91,61.16
2006-06-09,61.45,61.63
2006-06-08,61.54,62.14
2006-06-07,62.12,63.09
2006-06-06,62.03,63.22
2006-06-05,63.15,63.71
2006-06-02,64.17,64.23
2006-06-01,63.5,64.03
2006-05-31,62.33,64.01
2006-05-30,64.7,64.75
2006-05-29,64.88,65.25
2006-05-26,64.53,65.22
2006-05-25,63.5,64.57
2006-05-24,63.78,63.78
2006-05-23,62.38,64.14
2006-05-22,63.5,63.87
2006-05-19,63.6,64.4
2006-05-18,63.93,64.54
2006-05-17,65.59,65.94
2006-05-16,65.2,65.84
2006-05-15,66.0,66.15
2006-05-12,67.55,67.9
2006-05-11,68.14,69.05
2006-05-10,68.25,68.62
2006-05-09,68.06,68.95
2006-05-08,68.81,69.11
2006-05-05,67.52,68.9
2006-05-04,68.28,69.49
2006-05-03,68.75,68.99
2006-05-02,67.14,68.88
2006-04-28,68.19,68.71
2006-04-27,68.82,69.0
2006-04-26,68.74,69.55
2006-04-25,69.29,69.4
2006-04-24,69.0,69.6
2006-04-21,68.0,69.9
2006-04-20,65.27,68.35
2006-04-19,64.75,65.47
2006-04-18,64.2,64.29
2006-04-17,64.15,64.15
2006-04-14,64.15,64.15
2006-04-13,63.25,64.43
2006-04-12,63.45,63.6
2006-04-11,63.55,64.17
2006-04-10,63.56,64.2
2006-04-07,64.35,64.48
2006-04-06,64.36,64.72
2006-04-05,64.75,64.93
2006-04-04,65.06,65.23
2006-04-03,64.57,65.2
2006-03-31,65.08,65.25
2006-03-30,64.85,65.5
2006-03-29,64.31,64.68
2006-03-28,64.85,65.1
2006-03-27,66.0,66.1
2006-03-24,64.3,66.04
2006-03-23,64.15,64.5
2006-03-22,62.8,64.38
2006-03-21,63.6,63.6
2006-03-20,63.28,63.95
2006-03-17,63.45,64.18
2006-03-16,63.15,63.7
2006-03-15,62.62,63.09
2006-03-14,62.25,62.56
2006-03-13,62.5,62.85
2006-03-10,62.45,62.82
2006-03-09,62.95,63.0
2006-03-08,62.35,63.1
2006-03-07,61.43,62.86
2006-03-06,62.85,63.15
2006-03-03,63.06,63.7
2006-03-02,64.0,64.3
2006-03-01,63.49,63.9
2006-02-28,64.18,64.61
2006-02-27,63.8,64.19
2006-02-24,63.18,63.72
2006-02-23,63.4,63.62
2006-02-22,63.6,63.6
2006-02-21,63.0,63.69
2006-02-20,62.78,63.1
2006-02-17,63.05,63.34
2006-02-16,63.41,63.7
2006-02-15,64.25,64.4
2006-02-14,63.8,64.44
2006-02-13,63.6,63.94
2006-02-10,64.46,64.59
2006-02-09,64.41,64.62
2006-02-08,64.02,64.37
2006-02-07,64.5,64.97
2006-02-06,64.98,65.19
2006-02-03,64.8,65.1
2006-02-02,65.7,65.83
2006-02-01,64.95,65.58
2006-01-31,63.78,64.9
2006-01-30,64.0,64.23
2006-01-27,63.4,64.55
2006-01-26,62.77,63.5
2006-01-25,62.1,62.97
2006-01-24,61.94,62.32
2006-01-23,61.5,62.12
2006-01-20,62.95,63.06
2006-01-19,63.05,63.84
2006-01-18,63.0,63.76
2006-01-17,63.3,63.9
2006-01-16,62.63,63.6
2006-01-13,63.39,63.65
2006-01-12,63.18,63.55
2006-01-11,62.36,63.12
2006-01-10,62.83,62.83
2006-01-09,63.4,63.85
2006-01-06,63.55,63.73
2006-01-05,62.85,63.67
2006-01-04,64.2,64.23
2006-01-03,64.81,65.12
2006-01-02,64.7,65.14
2005-12-30,65.0,65.19
2005-12-29,65.35,65.48
2005-12-28,65.15,65.2
2005-12-27,64.89,65.2
2005-12-26,64.93,64.93
2005-12-23,64.88,64.98
2005-12-22,64.65,64.94
2005-12-21,64.49,64.95
2005-12-20,63.67,64.4
2005-12-19,64.11,64.39
2005-12-16,63.46,64.44
2005-12-15,63.15,63.58
2005-12-14,62.7,63.3
2005-12-13,62.83,62.9
2005-12-12,63.45,63.58
2005-12-09,62.68,63.39
2005-12-08,62.46,63.1
2005-12-07,63.42,63.77
