Company Name,Symbol,Ex_Div_Date,Rec_Date,FaceValue,CMP,Div,Div_Percent
Aarti Industries Limited,AARTIIND,2021-06-22 00:00:00,2021-06-23 00:00:00,5.0,1661.75,BONUS 1:1,0.060177523694899954
Angel Broking Limited,ANGELBRKG,2021-06-21 00:00:00,2021-06-22 00:00:00,10.0,738.0,ANNUAL GENERAL MEETING,0
Asian Paints Limited,ASIANPAINT,2021-06-10 00:00:00,2021-06-11 00:00:00,1.0,2945.65,DIVIDEND - RS 14.50 PER SH,0.4922512857943069
GHCL Limited,GHCL,2021-06-10 00:00:00,2021-06-12 00:00:00,10.0,262.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 5.50  PER SHARE,2.0972354623450906
Housing Development Finance Corporation Limited,HDFC,2021-05-31 00:00:00,2021-06-01 00:00:00,2.0,2509.4,DIVIDEND - RS 23 PER SH,0.9165537578704073
Indiabulls Housing Finance Limited,IBULHSGFIN,2021-05-28 00:00:00,2021-05-31 00:00:00,2.0,226.0,INTERIM DIVIDEND - RS 9 PER SHARE,3.982300884955752
The Indian Hotels Company Limited,INDHOTEL,2021-06-14 00:00:00,2021-06-15 00:00:00,1.0,132.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,0.30303030303030304
Infosys Limited,INFY,2021-05-31 00:00:00,2021-06-01 00:00:00,5.0,1401.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 15 PER SHARE,1.070205479452055
Manappuram Finance Limited,MANAPPURAM,2021-06-04 00:00:00,2021-06-07 00:00:00,2.0,154.15,INTERIM DIVIDEND - RS 0.75 PER SHARE,0.4865390853065196
Nippon Life India Asset Management Limited,NAM-INDIA,2021-06-10 00:00:00,2021-06-11 00:00:00,10.0,347.75,DIVIDEND - RS 5  PER SHARE,1.4378145219266714
State Bank of India,SBIN,2021-06-03 00:00:00,2021-06-04 00:00:00,1.0,426.3,DIVIDEND - RS 4 PER SHARE,0.9383063570255689
Shree Digvijay Cement Co.Ltd,SHREDIGCEM,2021-06-10 00:00:00,2021-06-11 00:00:00,10.0,77.3,DIVIDEND - RS 2.50 PER SHARE,3.2341526520051747
Torrent Pharmaceuticals Limited,TORNTPHARM,2021-06-17 00:00:00,2021-06-18 00:00:00,5.0,2720.8,DIVIDEND - RS 15 PER SHARE,0.5513084386945015
Torrent Power Limited,TORNTPOWER,2021-06-24 00:00:00,2021-06-25 00:00:00,10.0,429.55,DIVIDEND - RS 5.50  PER SHARE,1.2804097311139564
Varun Beverages Limited,VBL,2021-06-10 00:00:00,2021-06-12 00:00:00,10.0,1017.4,BONUS 1:2,0.09828975820719481
