Company Name,Symbol,Ex_Div_Date,Rec_Date,FaceValue,CMP,Div,Div_Percent
Engineers India Limited,ENGINERSIN,2020-12-31 00:00:00,2021-01-01 00:00:00,5.0,78.2,BUYBACK,0
Gateway Distriparks Limited,GDL,2021-01-05 00:00:00,2021-01-06 00:00:00,10.0,116.25,INTERIM DIVIDEND,0
HCL Technologies Limited,HCLTECH,2021-01-21 00:00:00,2021-01-23 00:00:00,2.0,922.65,INTERIM DIVIDEND,0
Pilani Investment and Industries Corporation Limited,PILANIINVS,2020-12-31 00:00:00,2021-01-02 00:00:00,10.0,2722.05,BONUS 2:5,0.07347403611248875
