Company Name,Symbol,Ex_Div_Date,Rec_Date,FaceValue,CMP,Div,Div_Percent
CRISIL Limited,CRISIL,2021-05-05 00:00:00,2021-05-06 00:00:00,1.0,1856.95,INTERIM DIVIDEND - RS 7 PER SHARE,0.37696222300008075
Gateway Distriparks Limited,GDL,2021-05-04 00:00:00,2021-05-05 00:00:00,10.0,175.05,INTERIM DIVIDEND,0
HCL Technologies Limited,HCLTECH,2021-04-29 00:00:00,2021-05-01 00:00:00,2.0,965.25,INTERIM DIVIDEND,0
Zuari Global Limited,ZUARIGLOB,2021-04-27 00:00:00,2021-04-28 00:00:00,10.0,77.75,INTERIM DIVIDEND - RE 1 PER SHARE,1.2861736334405145
