Company Name,Symbol,Ex_Div_Date,Rec_Date,FaceValue,CMP,Div,Div_Percent
CRISIL Limited,CRISIL,2021-05-05 00:00:00,2021-05-06 00:00:00,1.0,1852.0,INTERIM DIVIDEND,0
HCL Technologies Limited,HCLTECH,2021-04-29 00:00:00,2021-05-01 00:00:00,2.0,990.0,INTERIM DIVIDEND,0
Muthoot Finance Limited,MUTHOOTFIN,2021-04-22 00:00:00,2021-04-23 00:00:00,10.0,1145.0,INTERIM DIVIDEND - RS 20 PER SHARE,1.7467248908296942
Zuari Global Limited,ZUARIGLOB,2021-04-27 00:00:00,2021-04-28 00:00:00,10.0,77.1,INTERIM DIVIDEND,0
