Company Name,Symbol,Ex_Div_Date,Rec_Date,FaceValue,CMP,Div,Div_Percent
Angel Broking Limited,ANGELBRKG,2021-04-29 00:00:00,2021-04-30 00:00:00,10.0,369.15,INTERIM DIVIDEND,0
CRISIL Limited,CRISIL,2021-05-05 00:00:00,2021-05-06 00:00:00,1.0,1855.25,INTERIM DIVIDEND - RS 7 PER SHARE,0.3773076404797197
Gateway Distriparks Limited,GDL,2021-05-04 00:00:00,2021-05-05 00:00:00,10.0,172.35,INTERIM DIVIDEND,0
HCL Technologies Limited,HCLTECH,2021-04-29 00:00:00,2021-05-01 00:00:00,2.0,965.05,INTERIM DIVIDEND,0
Quick Heal Technologies Limited,QUICKHEAL,2021-04-30 00:00:00,2021-05-03 00:00:00,10.0,193.5,BUY BACK,0
Sundaram Finance Holdings Limited,SUNDARMHLD,2021-04-26 00:00:00,2021-04-27 00:00:00,5.0,77.0,RIGHTS 23:49 @ PREMIUM RS 45/-,29.87012987012987
Zuari Global Limited,ZUARIGLOB,2021-04-27 00:00:00,2021-04-28 00:00:00,10.0,80.0,INTERIM DIVIDEND - RE 1 PER SHARE,1.25
